year,country_destination_id,import_val,tipo
1996,VNM,6456926016,import
1996,XXA,1019805.03,import
1996,XXB,97105681035,import
1996,YEM,1750219509,import
1996,ALB,348865960.5,import
1996,AND,55223934.04,import
1996,AUT,51841003894,import
1996,BGR,5097939693,import
1996,BIH,399342262.3,import
1996,BLR,1625621736,import
1996,BLX,133470653368,import
1996,CHE,75355569512,import
1996,CZE,21580028375,import
1996,DEU,498634524603,import
1996,DNK,43598129263,import
1996,ESP,98320727213,import
1996,EST,2492818298,import
1996,FIN,39905468497,import
1996,FRA,272794611866,import
1996,GBR,236116886752,import
1996,GIB,54012749.25,import
1996,GRC,11302424927,import
1996,HRV,4652945997,import
1996,HUN,15967552402,import
1996,IRL,45110656434,import
1996,ISL,2178342932,import
1996,ITA,232611127230,import
1996,LTU,3422856700,import
1996,LVA,2663006632,import
1996,MDA,1024052388,import
1996,MKD,1419842107,import
1996,MLT,1347986112,import
1996,NLD,182236275504,import
1996,NOR,47626721263,import
1996,POL,24395680052,import
1996,PRT,24026338692,import
1996,ROU,8871563703,import
1996,RUS,81183274632,import
1996,SVK,9247508497,import
1996,SVN,8612436923,import
1996,SWE,79568060831,import
1996,UKR,15202712992,import
1996,XXB,1569305536,import
1996,XXC,95637661.67,import
1996,YUG,2005317375,import
1996,ABW,732540094,import
1996,AIA,5396641.48,import
1996,ANT,1292128170,import
1996,ATG,30079936.04,import
1996,BHS,529893775.7,import
1996,BLZ,276036938.9,import
1996,BMU,206061251.9,import
1996,BRB,192158889.4,import
1996,CAN,169463296153,import
1996,CRI,3845312116,import
1996,CUB,1629516055,import
1996,CYM,127177862.5,import
1996,DMA,90863556.8,import
1996,DOM,3899832605,import
1996,GRD,26314279.54,import
1996,GRL,408173279.5,import
1996,GTM,2905963626,import
1996,HND,2836414611,import
1996,HTI,208443411.8,import
1996,JAM,1880403329,import
1996,KNA,38960552.65,import
1996,LCA,109809121.8,import
1996,MEX,91785378591,import
1996,MSR,21902394.44,import
1996,NIC,780360197,import
1996,PAN,2644638853,import
1996,SLV,1447065631,import
1996,SPM,9747238.5,import
1996,TCA,17841165.03,import
1996,TTO,2772815239,import
1996,UMI,118177716.9,import
1996,USA,574111491094,import
1996,VCT,90953013.92,import
1996,VGB,87144345.65,import
